Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Original_Action,Unsupervised_Prediction,Supervised_Prediction,Risk_label
51313,64147,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
49949,443,7206,443,4712,908,3804,18,89,9,9,allow,1,0,Potential Threat
64070,53,27144,53,258,110,148,2,30,1,1,allow,0,0,Normal
61279,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
51983,443,27301,443,23955,4211,19744,42,46,21,21,allow,1,0,Potential Threat
56869,53,8171,53,198,94,104,2,31,1,1,allow,0,0,Normal
45184,80,27181,80,1718,1404,314,11,15,6,5,allow,1,0,Potential Threat
56443,53,60191,53,168,86,82,2,30,1,1,allow,0,0,Normal
55246,443,12271,443,6144,1810,4334,18,45,11,7,allow,1,0,Potential Threat
50979,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49991,443,60218,443,622,210,412,10,21,4,6,allow,1,0,Potential Threat
60491,38789,32066,38789,320,140,180,6,7,3,3,allow,1,0,Potential Threat
64237,53,55167,53,199,86,113,2,30,1,1,allow,0,0,Normal
52040,53,52040,53,251,98,153,2,31,1,1,allow,0,0,Normal
38664,37965,0,0,145,145,0,1,0,1,0,deny,1,1,High Risk
63316,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
56514,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
55750,53,13328,53,211,110,101,2,30,1,1,allow,0,0,Normal
65251,53,45927,53,183,98,85,3,31,2,1,allow,0,0,Normal
49589,80,33481,80,314,128,186,6,26,3,3,allow,0,0,Normal
12348,50265,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
58638,5900,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
50625,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
44856,51505,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
50523,53,31491,53,199,102,97,2,30,1,1,allow,0,0,Normal
42379,443,23985,443,499,425,74,4,0,3,1,allow,0,0,Normal
64689,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49269,53,8382,53,198,110,88,2,30,1,1,allow,0,0,Normal
65344,46824,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
39569,443,5001,443,1784075,46752,1737323,1812,47,606,1206,allow,1,0,Potential Threat
47348,23,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
47357,50584,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
56803,53,43368,53,182,93,89,2,30,1,1,allow,0,0,Normal
